,ef_id,category_ipcc_1996,category_ipcc_2006,gas,description,region,value_original,unit_original,value_canonical,unit_canonical,equation,technical_reference,source_of_data,data_provider
23,62662,"6A - Solid Waste Disposal on Land
","4.A - Solid Waste Disposal
","METHANE
",Municipal Solid Waste (MSW) Generation Rate,India,0.33,kg/cap/day,,,Equation 5.1 on Page 5.6 and Equation 5.3 on Page 5.7 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories ,"A.D. Bhide, NEERI, India, 1995. (Personal Communication)",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 6-1 on Pages 6.6 - 6.7 of the Reference Manual),IPCC
47,62686,"6A - Solid Waste Disposal on Land
","4.A - Solid Waste Disposal
","METHANE
",Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS),India,0.6,fraction,,,Equation 5.1 on Page 5.6 and Equation 5.3 on Page 5.7 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories ,"A.D. Bhide, NEERI, India, 1995. (Personal Communication)",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 6-1 on Pages 6.6 - 6.7 of the Reference Manual),IPCC
57,62696,"6A - Solid Waste Disposal on Land
","4.A - Solid Waste Disposal
","METHANE
",Fraction of Degradable Organic Carbon (DOC) of Municipal Solid Waste (MSW),India,0.18,fraction,,,Equation 5.1 on Page 5.6 and Equation 5.3 on Page 5.7 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories ,"A.D. Bhide, NEERI, India, 1995. (Personal Communication)",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 6-1 on Pages 6.6 - 6.7 of the Reference Manual),IPCC
90,62729,"6A - Solid Waste Disposal on Land
","4.A - Solid Waste Disposal
","METHANE
",Municipal Solid Waste (MSW) disposal rate,India,0.2,kg/cap/day,,,See Page 6.5 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories: Reference Manual,"A.D. Bhide, NEERI, India, 1995. (Personal Communication)",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 6-1 on Pages 6.6 - 6.7 of the Reference Manual),IPCC
431,43118,"4A1a - Dairy
","3.A.1.a.i - Dairy Cows
","METHANE
",Enteric Fermentation Emission Factors for Cattle,Region: Indian Subcontinent,46,kg/head/yr,,,Equation 4.12 on Page 4.25 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Gibbs, M.J. and D.E. Johnson (1993), ""Livestock Emissions.""  In: International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-4 on Page 4.11 of the Reference Manual),IPCC
432,43119,"4A1b - Non-Dairy
","3.A.1.a.ii - Other Cattle
","METHANE
",Enteric Fermentation Emission Factors for Cattle,Region: Indian Subcontinent,25,kg/head/yr,,,Equation 4.12 on Page 4.25 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Gibbs, M.J. and D.E. Johnson (1993), ""Livestock Emissions.""  In: International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-4 on Page 4.11 of the Reference Manual),IPCC
552,43243,"4B1a - Dairy
","3.A.2.a.i - Dairy cows
","METHANE
",Manure Management Emission Factor,Climate: Cool; Region: Indian Subcontinent,5,kg/head/yr,,,Equation 4.15 on Page 4.30 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Crutzen, P.J., I. Aselmann and W. Seiler (1986), ""Methane Production by Domestic Animals, Wild Ruminants, Other Herbivorous Fauna, and Humans,""  Tellus 38B:271-284 

Gibbs, M.J. and D.E. Johnson (1993), ""Livestock Emissions.""  In: International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A 

Safley, L.M., M.E. Casada, J.W. Woodbury, and K.F. Roos (1992), Global Methane Emissions from Livestock and Poultry Manure. US Environmental Protection Agency, Global Change Division, Washington, D.C., February 1992, EPA/400/1091/048.  

Woodbury, J.W. and A. Hashimoto (1993), ""Methane Emissions from Livestock Manure.""  In International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-6 on Page 4.13 of the Reference Manual),IPCC
553,43244,"4B1a - Dairy
","3.A.2.a.i - Dairy cows
","METHANE
",Manure Management Emission Factor,Climate: Temp; Region: Indian Subcontinent,5,kg/head/yr,,,Equation 4.15 on Page 4.30 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Crutzen, P.J., I. Aselmann and W. Seiler (1986), ""Methane Production by Domestic Animals, Wild Ruminants, Other Herbivorous Fauna, and Humans,""  Tellus 38B:271-284 

Gibbs, M.J. and D.E. Johnson (1993), ""Livestock Emissions.""  In: International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A 

Safley, L.M., M.E. Casada, J.W. Woodbury, and K.F. Roos (1992), Global Methane Emissions from Livestock and Poultry Manure. US Environmental Protection Agency, Global Change Division, Washington, D.C., February 1992, EPA/400/1091/048.  

Woodbury, J.W. and A. Hashimoto (1993), ""Methane Emissions from Livestock Manure.""  In International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-6 on Page 4.13 of the Reference Manual),IPCC
554,43245,"4B1a - Dairy
","3.A.2.a.i - Dairy cows
","METHANE
",Manure Management Emission Factor,Climate: Warm; Region: Indian Subcontinent,6,kg/head/yr,,,Equation 4.15 on Page 4.30 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Crutzen, P.J., I. Aselmann and W. Seiler (1986), ""Methane Production by Domestic Animals, Wild Ruminants, Other Herbivorous Fauna, and Humans,""  Tellus 38B:271-284 

Gibbs, M.J. and D.E. Johnson (1993), ""Livestock Emissions.""  In: International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A 

Safley, L.M., M.E. Casada, J.W. Woodbury, and K.F. Roos (1992), Global Methane Emissions from Livestock and Poultry Manure. US Environmental Protection Agency, Global Change Division, Washington, D.C., February 1992, EPA/400/1091/048.  

Woodbury, J.W. and A. Hashimoto (1993), ""Methane Emissions from Livestock Manure.""  In International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-6 on Page 4.13 of the Reference Manual),IPCC
555,43246,"4B1b - Non-Dairy
","3.A.2.a.ii - Other cattle
","METHANE
",Manure Management Emission Factor,Climate: Cool; Region: Indian Subcontinent,2,kg/head/yr,,,Equation 4.15 on Page 4.30 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Crutzen, P.J., I. Aselmann and W. Seiler (1986), ""Methane Production by Domestic Animals, Wild Ruminants, Other Herbivorous Fauna, and Humans,""  Tellus 38B:271-284 

Gibbs, M.J. and D.E. Johnson (1993), ""Livestock Emissions.""  In: International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A 

Safley, L.M., M.E. Casada, J.W. Woodbury, and K.F. Roos (1992), Global Methane Emissions from Livestock and Poultry Manure. US Environmental Protection Agency, Global Change Division, Washington, D.C., February 1992, EPA/400/1091/048.  

Woodbury, J.W. and A. Hashimoto (1993), ""Methane Emissions from Livestock Manure.""  In International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-6 on Page 4.13 of the Reference Manual),IPCC
